,0,1,0
0,20130104,093000,"['002277', 9.14, 10900.0, 1]"
1,20130104,093000,"['002276', 5.25, 19000.0, 1]"
2,20130104,093000,"['600311', 8.2, 12100.0, 1]"
3,20130104,093000,"['002574', 15.5, 6400.0, 1]"
4,20130104,093000,"['002249', 7.0, 14200.0, 1]"
5,20130104,093000,"['002573', 17.9, 5500.0, 1]"
6,20130104,093000,"['000627', 2.83, 35300.0, 1]"
7,20130104,093000,"['000099', 7.8, 12800.0, 1]"
8,20130104,093000,"['000620', 5.28, 18900.0, 1]"
9,20130104,093000,"['000090', 7.65, 13000.0, 1]"
10,20130104,093000,"['601388', 12.15, 8200.0, 1]"
11,20130104,093000,"['600723', 7.51, 13300.0, 1]"
12,20130104,093000,"['600725', 4.2, 23800.0, 1]"
13,20130104,093000,"['601636', 6.86, 14500.0, 1]"
14,20130104,093000,"['002050', 9.14, 10900.0, 1]"
15,20130104,093000,"['002056', 14.21, 7000.0, 1]"
16,20130104,093000,"['002118', 7.4, 13500.0, 1]"
17,20130104,093000,"['000021', 4.74, 21000.0, 1]"
18,20130104,093000,"['601908', 6.15, 16200.0, 1]"
19,20130104,093000,"['600151', 5.43, 18400.0, 1]"
20,20130104,093000,"['000028', 35.02, 2800.0, 1]"
21,20130104,093000,"['002283', 6.39, 15600.0, 1]"
22,20130104,093000,"['600158', 5.83, 17100.0, 1]"
23,20130104,093000,"['600704', 7.4, 13500.0, 1]"
24,20130104,093000,"['600094', 6.95, 14300.0, 1]"
25,20130104,093000,"['600797', 4.35, 22900.0, 1]"
26,20130104,093000,"['600790', 6.14, 16200.0, 1]"
27,20130104,093000,"['600654', 4.2, 23800.0, 1]"
28,20130104,093000,"['600657', 4.26, 23400.0, 1]"
29,20130104,093000,"['600651', 4.75, 21000.0, 1]"
30,20130104,093000,"['601311', 8.81, 11300.0, 1]"
31,20130104,093000,"['600075', 6.76, 14700.0, 1]"
32,20130104,093000,"['000533', 4.08, 24500.0, 1]"
33,20130104,093000,"['600073', 6.45, 15500.0, 1]"
34,20130104,093000,"['600072', 13.89, 7100.0, 1]"
35,20130104,093000,"['000925', 9.02, 11000.0, 1]"
36,20130104,093000,"['600373', 14.39, 6900.0, 1]"
37,20130104,093000,"['000927', 5.06, 19700.0, 1]"
38,20130104,093000,"['000926', 9.56, 10400.0, 1]"
39,20130104,093000,"['600079', 23.06, 4300.0, 1]"
40,20130104,093000,"['600078', 8.53, 11700.0, 1]"
41,20130104,093000,"['002025', 11.36, 8800.0, 1]"
42,20130104,093000,"['002022', 10.58, 9400.0, 1]"
43,20130104,093000,"['600983', 7.65, 13000.0, 1]"
44,20130104,093000,"['002029', 18.96, 5200.0, 1]"
45,20130104,093000,"['600387', 8.74, 11400.0, 1]"
46,20130104,093000,"['600386', 6.97, 14300.0, 1]"
47,20130104,093000,"['600380', 4.56, 21900.0, 1]"
48,20130104,093000,"['002456', 43.0, 2300.0, 1]"
49,20130104,093000,"['600388', 22.27, 4400.0, 1]"
50,20130104,093000,"['600479', 12.01, 8300.0, 1]"
51,20130104,093000,"['600572', 9.74, 10200.0, 1]"
52,20130104,093000,"['600578', 7.53, 13200.0, 1]"
53,20130104,093000,"['600470', 9.25, 10800.0, 1]"
54,20130104,093000,"['600475', 10.15, 9800.0, 1]"
55,20130104,093000,"['600298', 16.56, 6000.0, 1]"
56,20130104,093000,"['600200', 7.26, 13700.0, 1]"
57,20130104,093000,"['002450', 24.35, 4100.0, 1]"
58,20130104,093000,"['000997', 8.18, 12200.0, 1]"
59,20130104,093000,"['000998', 20.8, 4800.0, 1]"
60,20130104,093000,"['600366', 16.15, 6100.0, 1]"
61,20130104,093000,"['601002', 10.42, 9500.0, 1]"
62,20130104,093000,"['000861', 14.3, 6900.0, 1]"
63,20130104,093000,"['600270', 7.16, 13900.0, 1]"
64,20130104,093000,"['000848', 13.8, 7200.0, 1]"
65,20130104,093000,"['600429', 6.46, 15400.0, 1]"
66,20130104,093000,"['002332', 9.91, 10000.0, 1]"
67,20130104,093000,"['002238', 10.84, 9200.0, 1]"
68,20130104,093000,"['002233', 8.46, 11800.0, 1]"
69,20130104,093000,"['002232', 6.3, 15800.0, 1]"
70,20130104,093000,"['002230', 30.31, 3200.0, 1]"
71,20130104,093000,"['002237', 22.82, 4300.0, 1]"
72,20130104,093000,"['600851', 5.45, 18300.0, 1]"
73,20130104,093000,"['000661', 61.1, 1600.0, 1]"
74,20130104,093000,"['000667', 2.27, 44000.0, 1]"
75,20130104,093000,"['600858', 9.5, 10500.0, 1]"
76,20130104,093000,"['601678', 9.97, 10000.0, 1]"
77,20130104,093000,"['601677', 11.45, 8700.0, 1]"
78,20130104,093000,"['603077', 15.7, 6300.0, 1]"
79,20130104,093000,"['000697', 13.54, 7300.0, 1]"
80,20130104,093000,"['000690', 4.52, 22100.0, 1]"
81,20130104,093000,"['002489', 8.99, 11100.0, 1]"
82,20130104,093000,"['600418', 6.87, 14500.0, 1]"
83,20130104,093000,"['002480', 12.64, 7900.0, 1]"
84,20130104,093000,"['002482', 20.9, 4700.0, 1]"
85,20130104,093000,"['600581', 6.12, 16300.0, 1]"
86,20130104,093000,"['000066', 3.35, 29800.0, 1]"
87,20130104,093000,"['600584', 4.29, 23300.0, 1]"
88,20130104,093000,"['600586', 3.46, 28900.0, 1]"
89,20130104,093000,"['600589', 5.54, 18000.0, 1]"
90,20130104,093000,"['002244', 11.08, 9000.0, 1]"
91,20130104,093000,"['002242', 7.01, 14200.0, 1]"
92,20130104,093000,"['600611', 4.86, 20500.0, 1]"
93,20130104,093000,"['600831', 6.6, 15100.0, 1]"
94,20130104,093000,"['600612', 21.8, 4500.0, 1]"
95,20130104,093000,"['600614', 11.78, 8400.0, 1]"
96,20130104,093000,"['600830', 6.75, 14800.0, 1]"
97,20130104,093000,"['600618', 8.14, 12200.0, 1]"
98,20130104,093000,"['600759', 5.3, 18800.0, 1]"
99,20130104,093000,"['600750', 19.83, 5000.0, 1]"
100,20130104,093000,"['600246', 3.89, 25700.0, 1]"
101,20130104,093000,"['600755', 4.48, 22300.0, 1]"
102,20130104,093000,"['600757', 6.2, 16100.0, 1]"
103,20130104,093000,"['600038', 18.85, 5300.0, 1]"
104,20130104,093000,"['002140', 21.5, 4600.0, 1]"
105,20130104,093000,"['002414', 16.18, 6100.0, 1]"
106,20130104,093000,"['002063', 14.73, 6700.0, 1]"
107,20130104,093000,"['002064', 4.8, 20800.0, 1]"
108,20130104,093000,"['002065', 14.14, 7000.0, 1]"
109,20130104,093000,"['600537', 8.24, 12100.0, 1]"
110,20130104,093000,"['600531', 17.25, 5700.0, 1]"
111,20130104,093000,"['600533', 4.66, 21400.0, 1]"
112,20130104,093000,"['002097', 6.95, 14300.0, 1]"
113,20130104,093000,"['002091', 8.57, 11600.0, 1]"
114,20130104,093000,"['600106', 4.06, 24600.0, 1]"
115,20130104,093000,"['600103', 2.91, 34300.0, 1]"
116,20130104,093000,"['600325', 8.66, 11500.0, 1]"
117,20130104,093000,"['600326', 8.78, 11300.0, 1]"
118,20130104,093000,"['600322', 3.91, 25500.0, 1]"
119,20130104,093000,"['600240', 4.95, 20200.0, 1]"
120,20130104,093000,"['000816', 5.45, 18300.0, 1]"
121,20130104,093000,"['600329', 10.71, 9300.0, 1]"
122,20130104,093000,"['600328', 6.67, 14900.0, 1]"
123,20130104,093000,"['002662', 8.49, 11700.0, 1]"
124,20130104,093000,"['002663', 28.41, 3500.0, 1]"
125,20130104,093000,"['000566', 9.99, 10000.0, 1]"
126,20130104,093000,"['600978', 4.93, 20200.0, 1]"
127,20130104,093000,"['000563', 13.2, 7500.0, 1]"
128,20130104,093000,"['002465', 29.22, 3400.0, 1]"
129,20130104,093000,"['002463', 4.45, 22400.0, 1]"
130,20130104,093000,"['002461', 8.82, 11300.0, 1]"
131,20130104,093000,"['000962', 12.65, 7900.0, 1]"
132,20130104,093000,"['600408', 4.06, 24600.0, 1]"
133,20130104,093000,"['600409', 3.8, 26300.0, 1]"
134,20130104,093000,"['000708', 7.61, 13100.0, 1]"
135,20130104,093000,"['600810', 5.52, 18100.0, 1]"
136,20130104,093000,"['002203', 7.55, 13200.0, 1]"
137,20130104,093000,"['002204', 12.89, 7700.0, 1]"
138,20130104,093000,"['000636', 6.26, 15900.0, 1]"
139,20130104,093000,"['000631', 7.27, 13700.0, 1]"
140,20130104,093000,"['600869', 7.99, 12500.0, 1]"
141,20130104,093000,"['600866', 4.69, 21300.0, 1]"
142,20130104,093000,"['600867', 9.45, 10500.0, 1]"
143,20130104,093000,"['600864', 5.72, 17400.0, 1]"
144,20130104,093000,"['600717', 6.09, 16400.0, 1]"
145,20130104,093000,"['600710', 4.24, 23500.0, 1]"
146,20130104,093000,"['002285', 13.92, 7100.0, 1]"
147,20130104,093000,"['600141', 18.29, 5400.0, 1]"
148,20130104,093000,"['002293', 43.28, 2300.0, 1]"
149,20130104,093000,"['002292', 19.06, 5200.0, 1]"
150,20130104,093000,"['002294', 38.23, 2600.0, 1]"
151,20130104,093000,"['000031', 4.41, 22600.0, 1]"
152,20130104,093000,"['002191', 9.13, 10900.0, 1]"
153,20130104,093000,"['600787', 7.78, 12800.0, 1]"
154,20130104,093000,"['002194', 6.09, 16400.0, 1]"
155,20130104,093000,"['600662', 3.98, 25100.0, 1]"
156,20130104,093000,"['000918', 4.12, 24200.0, 1]"
